Aquatic Life,Avg Viz,Bottom Comp,Contact,Entry Type,Fall,Location,Max Depth,Rating,Spring,Summer,Winter
Might See Something,,Sand,,Shore,," Curaçao, Curaçao",105.5,4.38 by 13,,,
,,,,,," Curaçao, Curaçao",,,,,
,,,,,," Curaçao, Curaçao",,,,,
,,,,,," Curaçao, Curaçao",,,,,
,,,,,," Curaçao, Curaçao",,,,,
,,,,,," Curaçao, Curaçao",,,,,
,,,,,," Curaçao, Curaçao",,,,,
Plenty To See,95.5,Sand,,Shore,," Curaçao, Curaçao",115.5,4.00 by 4,,,83
Plenty To See,45.5,Sand,,Shore,," Curaçao, Curaçao",150,5.00 by 1,,,
,,,,,," Curaçao, Curaçao",,5.00 by 1,,,
,,,,,," Curaçao, Curaçao",,,,,
,,,,,," Curaçao, Curaçao",,,,,
,,,,,," Curaçao, Curaçao",,,,,
Might See Something,,Sand,,,," Santa Martha, WILLEMSTAD, Curaçao, Curaçao",,3.83 by 6,,,
,,,,,," Curaçao, Curaçao",,,,,
,,,,,," Curaçao, Curaçao",,3.00 by 1,,,
Plenty To See,,Sand,,Shore,," Curaçao, Curaçao",,4.50 by 2,,,
,,,,,," Curaçao, Curaçao",,4.00 by 2,,,
Plenty To See,,,,Shore,," Westpunt, Curaçao, Curaçao",,4.20 by 5,,83,
,,Rock,,Shore,, Aruba,,3.00 by 3,,,
,,,,,, Aruba,,4.40 by 5,,,
,,Rock,,Shore,, Aruba,,3.00 by 1,,,
,,Sand,,Shore,, Aruba,,,,,
Might See Something,55.5,Rock,,Shore,," Seroe Colorado, Aruba",45.5,3.00 by 4,,,
,,Rock,,Shore,, Aruba,,3.00 by 1,,,
,,Rock,,Shore,, Aruba,,3.00 by 1,,,
,,Sand,,Shore,, Aruba,,3.33 by 3,,,
Might See Something,,,,Shore,, Aruba,,3.83 by 6,,,
,,Sand,,Shore,, Aruba,,3.00 by 2,,,
,,Sand,,Shore,, Aruba,,3.50 by 2,,,
,,Sand,,Shore,, Aruba,,3.00 by 1,,,
Plenty To See,95.5,,,Boat,, Aruba,55.5,3.89 by 38,73,,
Might See Something,33,Sand,,Shore,58, ME,,3.60 by 5,52.5,58,50
,,,,,, ME,,,,,
Plenty To See,,Sand,,Shore,," Kennybunkport, ME",45.5,3.33 by 3,,,50
,,Rock,,Shore,," Rockport, MA 01966",,3.25 by 4,,,
Plenty To See,13,Rock,,Shore,," 98 Whale Cove Lane, Rockport, MA 01966",28,4.00 by 1,,,
Plenty To See,18,Sand,,Shore,63, MA,28,3.63 by 19,52.5,58,50
Plenty To See,23,Sand,,Shore,68," Old garden Road, Rockport, MA",45.5,3.88 by 17,,63,50
Might See Something,13,Sand,,Shore,," Rockport, MA",28,3.60 by 10,50,,50
,,,,,, MA,,3.41 by 17,,,
Might See Something,18,Sand,,Shore,52.5," Rockport, MA",28,3.52 by 27,50,52.5,50
,,,,,, MA,,2.00 by 1,,,
,,,,,, MA,,3.00 by 1,,,
,,,,,, MA,,3.00 by 1,,,
,,,,,, MA,,4.80 by 5,,,
Plenty To See,28,Sand,,Shore,," Rockport, MA",,4.00 by 25,,,
,,,,,, MA,,4.00 by 5,,,
Might See Something,18,Sand,,Shore,," Gloucester, MA",23,3.67 by 9,,63,
,,,,,, ME,,3.00 by 2,,,
,,,,,, MA,,3.00 by 2,,,
Might See Something,,Sand,,Shore,," Kittery, Me.",,3.50 by 2,,,
Might See Something,,,,Shore,," Newcastle, NH",,4.00 by 3,52.5,,50
Might See Something,,Rock,,,, MA,,3.50 by 4,,,50
